TIGRFAM	link	mainrole	subrole	Name	Function	Isology_Type	EC_Number
TIGR01343	Uncategorized	Uncategorized	Uncategorized	hacA_fam	homoaconitate hydratase family protein	subfamily	
TIGR01350	Uncategorized	Uncategorized	Uncategorized	lipoamide_DH	dihydrolipoyl dehydrogenase	equivalog	1.8.1.4
TIGR01359	Uncategorized	Uncategorized	Uncategorized	UMP_CMP_kin_fam	UMP-CMP kinase family	subfamily	2.7.4.-
TIGR01360	Uncategorized	Uncategorized	Uncategorized	aden_kin_iso1	adenylate kinase	equivalog	2.7.4.3
TIGR01376	Uncategorized	Uncategorized	Uncategorized	POMP_repeat	chlamydial polymorphic outer membrane protein repeat	repeat	
TIGR01381	Uncategorized	Uncategorized	Uncategorized	E1_like_apg7	E1-like protein-activating enzyme Gsa7p/Apg7p	equivalog	
TIGR01385	Uncategorized	Uncategorized	Uncategorized	TFSII	transcription elongation factor S-II	equivalog	
TIGR01386	Uncategorized	Uncategorized	Uncategorized	cztS_silS_copS	heavy metal sensor kinase	subfamily	2.7.13.3
TIGR01408	Uncategorized	Uncategorized	Uncategorized	Ube1	ubiquitin-activating enzyme E1	subfamily	
TIGR01412	Uncategorized	Uncategorized	Uncategorized	tat_substr_1	Tat-translocated enzyme	hypoth_equivalog	
TIGR01413	Uncategorized	Uncategorized	Uncategorized	Dyp_perox_fam	Dyp-type peroxidase family	superfamily	
TIGR01417	Uncategorized	Uncategorized	Uncategorized	PTS_I_fam	phosphoenolpyruvate-protein phosphotransferase	equivalog_domain	2.7.3.9
TIGR01423	Uncategorized	Uncategorized	Uncategorized	trypano_reduc	trypanothione-disulfide reductase	equivalog	1.8.1.12
TIGR01425	Uncategorized	Uncategorized	Uncategorized	SRP54_euk	signal recognition particle protein SRP54	equivalog	
TIGR01427	Uncategorized	Uncategorized	Uncategorized	PTS_IIC_fructo	"_PTS system, Fru family, IIC component_"	subfamily_domain	
TIGR01428	Uncategorized	Uncategorized	Uncategorized	HAD_type_II	"_haloacid dehalogenase, type II_"	equivalog	3.8.1.2
TIGR01429	Uncategorized	Uncategorized	Uncategorized	AMP_deaminase	AMP deaminase	equivalog	3.5.4.6
TIGR01430	Uncategorized	Uncategorized	Uncategorized	aden_deam	adenosine deaminase	equivalog	3.5.4.4
TIGR01431	Uncategorized	Uncategorized	Uncategorized	adm_rel	adenosine deaminase-related growth factor	subfamily	
TIGR01438	Uncategorized	Uncategorized	Uncategorized	TGR	thioredoxin and glutathione reductase	subfamily	1.6.4.-
TIGR01443	Uncategorized	Uncategorized	Uncategorized	intein_Cterm	intein C-terminal splicing region	domain	
TIGR01444	Uncategorized	Uncategorized	Uncategorized	fkbM_fam	"_methyltransferase, FkbM family_"	subfamily_domain	
TIGR01445	Uncategorized	Uncategorized	Uncategorized	intein_Nterm	intein N-terminal splicing region	domain	
TIGR01451	Uncategorized	Uncategorized	Uncategorized	B_ant_repeat	conserved repeat domain	domain	
TIGR01452	Uncategorized	Uncategorized	Uncategorized	PGP_euk	phosphoglycolate/pyridoxal phosphate phosphatase family	subfamily	3.1.3.18
TIGR01453	Uncategorized	Uncategorized	Uncategorized	grpIintron_endo	group I intron endonuclease	subfamily	
TIGR01454	Uncategorized	Uncategorized	Uncategorized	AHBA_synth_RP	AHBA synthesis associated protein	hypoth_equivalog	
TIGR01456	Uncategorized	Uncategorized	Uncategorized	CECR5	"_HAD hydrolase, TIGR01456 family_"	hypoth_equivalog	
TIGR01459	Uncategorized	Uncategorized	Uncategorized	HAD-SF-IIA-hyp4	"_HAD hydrolase, TIGR01459 family_"	hypoth_equivalog	
TIGR01463	Uncategorized	Uncategorized	Uncategorized	mtaA_cmuA	"_methyltransferase, MtaA/CmuA family_"	subfamily	2.1.1.-
TIGR01477	Uncategorized	Uncategorized	Uncategorized	RIFIN	"_variant surface antigen, rifin family_"	paralog	
TIGR01478	Uncategorized	Uncategorized	Uncategorized	STEVOR	"_variant surface antigen, stevor family_"	paralog	
TIGR01482	Uncategorized	Uncategorized	Uncategorized	SPP-subfamily	sucrose-phosphate phosphatase subfamily	subfamily	3.1.3.-
TIGR01485	Uncategorized	Uncategorized	Uncategorized	SPP_plant-cyano	sucrose phosphatase	equivalog	3.1.3.24
TIGR01486	Uncategorized	Uncategorized	Uncategorized	HAD-SF-IIB-MPGP	mannosyl-3-phosphoglycerate phosphatase family	subfamily	3.1.3.-
TIGR01487	Uncategorized	Uncategorized	Uncategorized	Pglycolate_arch	"_phosphoglycolate phosphatase, TA0175-type_"	equivalog	3.1.3.18
TIGR01491	Uncategorized	Uncategorized	Uncategorized	HAD-SF-IB-PSPlk	"_phosphoserine phosphatase-like hydrolase, archaeal_"	hypoth_equivalog	
TIGR01492	Uncategorized	Uncategorized	Uncategorized	CPW_WPC	Plasmodium falciparum CPW-WPC domain	domain	
TIGR01493	Uncategorized	Uncategorized	Uncategorized	HAD-SF-IA-v2	"_HAD hydrolase, family IA, variant 2_"	subfamily	
TIGR01494	Uncategorized	Uncategorized	Uncategorized	ATPase_P-type	"_HAD ATPase, P-type, family IC_"	subfamily	3.6.3.-
TIGR01495	Uncategorized	Uncategorized	Uncategorized	ETRAMP	early transcribed membrane protein (ETRAMP) family	paralog	
TIGR01500	Uncategorized	Uncategorized	Uncategorized	sepiapter_red	sepiapterin reductase	equivalog	1.1.1.153
TIGR01504	Uncategorized	Uncategorized	Uncategorized	glyox_carbo_lig	glyoxylate carboligase	equivalog	4.1.1.47
TIGR01505	Uncategorized	Uncategorized	Uncategorized	tartro_sem_red	2-hydroxy-3-oxopropionate reductase	equivalog	1.1.1.60
TIGR01508	Uncategorized	Uncategorized	Uncategorized	rib_reduct_arch	diaminohydroxyphosphoribosylaminopyrimidine reductase	equivalog	1.1.1.-
TIGR01517	Uncategorized	Uncategorized	Uncategorized	ATPase-IIB_Ca	"_calcium-translocating P-type ATPase, PMCA-type_"	equivalog	3.6.3.8
TIGR01519	Uncategorized	Uncategorized	Uncategorized	plasmod_dom_1	Plasmodium falciparum uncharacterized domain	paralog_domain	
TIGR01521	Uncategorized	Uncategorized	Uncategorized	FruBisAldo_II_B	"_fructose-bisphosphate aldolase, class II, Calvin cycle subtype_"	equivalog	4.1.2.13
TIGR01522	Uncategorized	Uncategorized	Uncategorized	ATPase-IIA2_Ca	"_calcium-transporting P-type ATPase, PMR1-type_"	equivalog	3.6.3.8
TIGR01523	Uncategorized	Uncategorized	Uncategorized	ATPase-IID_K-Na	"_potassium/sodium efflux P-type ATPase, fungal-type_"	equivalog	3.6.3.-
TIGR01525	Uncategorized	Uncategorized	Uncategorized	ATPase-IB_hvy	heavy metal translocating P-type ATPase	subfamily	3.6.3.-
TIGR01526	Uncategorized	Uncategorized	Uncategorized	nadR_NMN_Atrans	nicotinamide-nucleotide adenylyltransferase	equivalog_domain	2.7.7.1
TIGR01544	Uncategorized	Uncategorized	Uncategorized	HAD-SF-IE	"_HAD hydrolase, family IE_"	hypoth_equivalog	
TIGR01545	Uncategorized	Uncategorized	Uncategorized	YfhB_g-proteo	"_HAD hydrolase, family IF_"	hypoth_equivalog	
TIGR01546	Uncategorized	Uncategorized	Uncategorized	GAPDH-II_archae	"_glyceraldehyde-3-phosphate dehydrogenase, type II_"	equivalog	1.2.1.59
TIGR01548	Uncategorized	Uncategorized	Uncategorized	HAD-SF-IA-hyp1	"_HAD hydrolase, TIGR01548 family_"	hypoth_equivalog	
TIGR01557	Uncategorized	Uncategorized	Uncategorized	myb_SHAQKYF	"_myb-like DNA-binding domain, SHAQKYF class_"	subfamily_domain	
TIGR01559	Uncategorized	Uncategorized	Uncategorized	squal_synth	farnesyl-diphosphate farnesyltransferase	equivalog	2.5.1.21
TIGR01562	Uncategorized	Uncategorized	Uncategorized	FdhE	formate dehydrogenase accessory protein FdhE	equivalog	
TIGR01565	Uncategorized	Uncategorized	Uncategorized	homeo_ZF_HD	"_homeobox domain, ZF-HD class_"	subfamily_domain	
TIGR01566	Uncategorized	Uncategorized	Uncategorized	ZF_HD_prot_N	ZF-HD homeobox protein Cys/His-rich dimerization domain	domain	
TIGR01568	Uncategorized	Uncategorized	Uncategorized	A_thal_3678	uncharacterized plant-specific domain TIGR01568	domain	
TIGR01569	Uncategorized	Uncategorized	Uncategorized	A_tha_TIGR01569	plant integral membrane protein TIGR01569	subfamily	
TIGR01570	Uncategorized	Uncategorized	Uncategorized	A_thal_3588	uncharacterized plant-specific domain TIGR01570	subfamily_domain	
TIGR01571	Uncategorized	Uncategorized	Uncategorized	A_thal_Cys_rich	uncharacterized Cys-rich domain	domain	
TIGR01572	Uncategorized	Uncategorized	Uncategorized	A_thl_para_3677	Arabidopsis paralogous family TIGR01572	paralog	
TIGR01577	Uncategorized	Uncategorized	Uncategorized	oligosac_amyl	oligosaccharide amylase	hypoth_equivalog	
TIGR01581	Uncategorized	Uncategorized	Uncategorized	Mo_ABC_porter	NifC-like ABC-type porter	hypoth_equivalog	
TIGR01589	Uncategorized	Uncategorized	Uncategorized	A_thal_3526	uncharacterized plant-specific domain TIGR01589	domain	
TIGR01590	Uncategorized	Uncategorized	Uncategorized	yir-bir-cir_Pla	yir/bir/cir-family of variant antigens	paralog	
TIGR01591	Uncategorized	Uncategorized	Uncategorized	Fdh-alpha	"_formate dehydrogenase, alpha subunit_"	equivalog	1.2.1.2
TIGR01597	Uncategorized	Uncategorized	Uncategorized	PYST-B	Plasmodium yoelii subtelomeric family PYST-B	paralog	
TIGR01599	Uncategorized	Uncategorized	Uncategorized	PYST-A	Plasmodium yoelii subtelomeric family PYST-A	paralog	
TIGR01601	Uncategorized	Uncategorized	Uncategorized	PYST-C1	Plasmodium yoelii subtelomeric domain PYST-C1	paralog	
TIGR01602	Uncategorized	Uncategorized	Uncategorized	PY-rept-46	Plasmodium yoelii repeat of length 46	paralog_domain	
TIGR01604	Uncategorized	Uncategorized	Uncategorized	PYST-C2	Plasmodium yoelii subtelomeric domain PYST-C2	paralog_domain	
TIGR01605	Uncategorized	Uncategorized	Uncategorized	PYST-D	Plasmodium yoelii subtelomeric family PYST-D	paralog	
TIGR01607	Uncategorized	Uncategorized	Uncategorized	PST-A	Plasmodium subtelomeric family	paralog	
TIGR01609	Uncategorized	Uncategorized	Uncategorized	PF_unchar_267	Plasmodium falciparum uncharacterized protein TIGR01609	paralog_domain	
TIGR01612	Uncategorized	Uncategorized	Uncategorized	235kDa-fam	rhoptry protein	paralog	
TIGR01614	Uncategorized	Uncategorized	Uncategorized	PME_inhib	pectinesterase inhibitor domain	domain	
TIGR01615	Uncategorized	Uncategorized	Uncategorized	A_thal_3542	uncharacterized plant-specific domain TIGR01615	domain	
TIGR01619	Uncategorized	Uncategorized	Uncategorized	hyp_HI0040	TIGR01619 family protein	hypoth_equivalog	
TIGR01620	Uncategorized	Uncategorized	Uncategorized	hyp_HI0043	TIGR01620 family protein	hypoth_equivalog	
TIGR01622	Uncategorized	Uncategorized	Uncategorized	SF-CC1	"_splicing factor, CC1-like family_"	subfamily	
TIGR01623	Uncategorized	Uncategorized	Uncategorized	put_zinc_LRP1	"_putative zinc finger domain, LRP1 type_"	paralog_domain	
TIGR01624	Uncategorized	Uncategorized	Uncategorized	LRP1_Cterm	LRP1 C-terminal domain	paralog_domain	
TIGR01626	Uncategorized	Uncategorized	Uncategorized	ytfJ_HI0045	"_conserved hypothetical protein YtfJ-family, TIGR01626_"	hypoth_equivalog	
TIGR01627	Uncategorized	Uncategorized	Uncategorized	A_thal_3515	uncharacterized plant-specific domain TIGR01627	domain	
TIGR01628	Uncategorized	Uncategorized	Uncategorized	PABP-1234	"_polyadenylate binding protein, human types 1, 2, 3, 4 family_"	subfamily	
TIGR01631	Uncategorized	Uncategorized	Uncategorized	Trypano_RHS	trypanosome RHS family	paralog	
TIGR01638	Uncategorized	Uncategorized	Uncategorized	Atha_cystat_rel	Arabidopsis thaliana cystatin-related protein	paralog_domain	
TIGR01639	Uncategorized	Uncategorized	Uncategorized	P_fal_TIGR01639	Plasmodium falciparum uncharacterized domain TIGR01639	paralog_domain	
TIGR01640	Uncategorized	Uncategorized	Uncategorized	F_box_assoc_1	F-box protein interaction domain	domain	
TIGR01642	Uncategorized	Uncategorized	Uncategorized	U2AF_lg	"_U2 snRNP auxilliary factor, large subunit, splicing factor_"	subfamily	
TIGR01643	Uncategorized	Uncategorized	Uncategorized	YD_repeat_2x	YD repeat (two copies)	repeat	
TIGR01645	Uncategorized	Uncategorized	Uncategorized	half-pint	"_poly-U binding splicing factor, half-pint family_"	subfamily	
TIGR01646	Uncategorized	Uncategorized	Uncategorized	vgr_GE	Rhs element Vgr protein	subfamily	
TIGR01647	Uncategorized	Uncategorized	Uncategorized	ATPase-IIIA_H	plasma-membrane proton-efflux P-type ATPase	equivalog	3.6.3.6
TIGR01648	Uncategorized	Uncategorized	Uncategorized	hnRNP-R-Q	"_hnRNP-R, Q splicing factor family_"	subfamily	
TIGR01649	Uncategorized	Uncategorized	Uncategorized	hnRNP-L_PTB	hnRNP-L/PTB/hephaestus splicing factor family	subfamily	
TIGR01652	Uncategorized	Uncategorized	Uncategorized	ATPase-Plipid	"_phospholipid-translocating P-type ATPase, flippase_"	subfamily	3.6.3.1
TIGR01656	Uncategorized	Uncategorized	Uncategorized	Histidinol-ppas	histidinol-phosphate phosphatase domain	subfamily_domain	
TIGR01657	Uncategorized	Uncategorized	Uncategorized	P-ATPase-V	P-type ATPase of unknown pump specificity (type V)	hypoth_equivalog	
TIGR01658	Uncategorized	Uncategorized	Uncategorized	EYA-cons_domain	EYA conserved domain	equivalog_domain	3.1.3.48
TIGR01659	Uncategorized	Uncategorized	Uncategorized	sex-lethal	sex-lethal family splicing factor	subfamily	
TIGR01661	Uncategorized	Uncategorized	Uncategorized	ELAV_HUD_SF	ELAV/HuD family splicing factor	subfamily	
TIGR01663	Uncategorized	Uncategorized	Uncategorized	PNK-3`Pase	polynucleotide kinase 3`-phosphatase	equivalog	3.1.3.32
TIGR01664	Uncategorized	Uncategorized	Uncategorized	DNA-3`-Pase	DNA 3`-phosphatase	equivalog_domain	3.1.3.32
TIGR01667	Uncategorized	Uncategorized	Uncategorized	YCCS_YHJK	"_integral membrane protein, YccS/YhfK family_"	subfamily	
TIGR01668	Uncategorized	Uncategorized	Uncategorized	YqeG_hyp_ppase	"_HAD phosphatase, family IIIA_"	hypoth_equivalog	3.1.3.-
TIGR01672	Uncategorized	Uncategorized	Uncategorized	AphA	"_HAD phosphatase, family IIIB_"	hypoth_equivalog	3.1.3.-
TIGR01675	Uncategorized	Uncategorized	Uncategorized	plant-AP	plant acid phosphatase	equivalog	
TIGR01676	Uncategorized	Uncategorized	Uncategorized	GLDHase	galactonolactone dehydrogenase	equivalog	1.3.2.3
TIGR01677	Uncategorized	Uncategorized	Uncategorized	pln_FAD_oxido	plant-specific FAD-dependent oxidoreductase	subfamily	1.-.-.-
TIGR01678	Uncategorized	Uncategorized	Uncategorized	FAD_lactone_ox	"_sugar 1,4-lactone oxidases_"	subfamily	
TIGR01679	Uncategorized	Uncategorized	Uncategorized	bact_FAD_ox	FAD-linked oxidoreductase	subfamily	
TIGR01680	Uncategorized	Uncategorized	Uncategorized	Veg_Stor_Prot	vegetative storage protein	equivalog	
TIGR01681	Uncategorized	Uncategorized	Uncategorized	HAD-SF-IIIC	"_HAD phosphatase, family IIIC_"	subfamily_domain	
TIGR01684	Uncategorized	Uncategorized	Uncategorized	viral_ppase	viral phosphatase	hypoth_equivalog	
TIGR01685	Uncategorized	Uncategorized	Uncategorized	MDP-1	magnesium-dependent phosphatase-1	equivalog	
TIGR01686	Uncategorized	Uncategorized	Uncategorized	FkbH	FkbH domain	subfamily_domain	
TIGR01689	Uncategorized	Uncategorized	Uncategorized	EcbF-BcbF	capsule biosynthesis phosphatase	subfamily	
TIGR01697	Uncategorized	Uncategorized	Uncategorized	PNPH-PUNA-XAPA	inosine/guanosine/xanthosine phosphorylase family	subfamily	2.4.2.1
TIGR01698	Uncategorized	Uncategorized	Uncategorized	PUNP	purine nucleotide phosphorylase	equivalog	2.4.2.1
TIGR01699	Uncategorized	Uncategorized	Uncategorized	XAPA	xanthosine phosphorylase	equivalog	2.4.2.1
TIGR01701	Uncategorized	Uncategorized	Uncategorized	Fdhalpha-like	oxidoreductase alpha (molybdopterin) subunit	hypoth_equivalog	
TIGR01702	Uncategorized	Uncategorized	Uncategorized	CO_DH_cata	"_carbon-monoxide dehydrogenase, catalytic subunit_"	equivalog	1.2.99.2
TIGR01705	Uncategorized	Uncategorized	Uncategorized	MTA/SAH-nuc-hyp	putative 5`-methylthioadenosine/S-adenosylhomocysteine nucleosidase	hypoth_equivalog	
TIGR01707	Uncategorized	Uncategorized	Uncategorized	gspI	type II secretion system protein I	equivalog	
TIGR01711	Uncategorized	Uncategorized	Uncategorized	gspJ	type II secretion system protein J	equivalog	
TIGR01717	Uncategorized	Uncategorized	Uncategorized	AMP-nucleosdse	AMP nucleosidase	equivalog	3.2.2.4
TIGR01720	Uncategorized	Uncategorized	Uncategorized	NRPS-para261	non-ribosomal peptide synthase domain TIGR01720	subfamily_domain	
TIGR01721	Uncategorized	Uncategorized	Uncategorized	AMN-like	putative AMP nucleosidase	hypoth_equivalog	
TIGR01729	Uncategorized	Uncategorized	Uncategorized	taurine_ABC_bnd	"_taurine ABC transporter, periplasmic binding protein_"	equivalog	
TIGR01731	Uncategorized	Uncategorized	Uncategorized	fil_hemag_20aa	adhesin HecA family 20-residue repeat (two copies)	repeat	
TIGR01733	Uncategorized	Uncategorized	Uncategorized	AA-adenyl-dom	amino acid adenylation domain	subfamily_domain	
TIGR01739	Uncategorized	Uncategorized	Uncategorized	tegu_FGAM_synt	herpesvirus tegument protein/v-FGAM-synthase	hypoth_equivalog	
TIGR01741	Uncategorized	Uncategorized	Uncategorized	staph_tand_hypo	conserved hypothetical protein	subfamily	
TIGR01742	Uncategorized	Uncategorized	Uncategorized	SA_tandem_lipo	Staphylococcus tandem lipoproteins	subfamily	
TIGR01746	Uncategorized	Uncategorized	Uncategorized	Thioester-redct	thioester reductase domain	subfamily_domain	
TIGR01751	Uncategorized	Uncategorized	Uncategorized	crot-CoA-red	crotonyl-CoA carboxylase/reductase	equivalog	1.3.1.85
TIGR01754	Uncategorized	Uncategorized	Uncategorized	flav_RNR	putative ribonucleotide reductase-associated flavodoxin	equivalog	
TIGR01756	Uncategorized	Uncategorized	Uncategorized	LDH_protist	lactate dehydrogenase	equivalog	1.1.1.27
TIGR01757	Uncategorized	Uncategorized	Uncategorized	Malate-DH_plant	"_malate dehydrogenase, NADP-dependent_"	equivalog	1.1.1.82
TIGR01758	Uncategorized	Uncategorized	Uncategorized	MDH_euk_cyt	"_malate dehydrogenase, NAD-dependent_"	equivalog	1.1.1.37
TIGR01759	Uncategorized	Uncategorized	Uncategorized	MalateDH-SF1	malate dehydrogenase	subfamily	1.1.1.-
TIGR01761	Uncategorized	Uncategorized	Uncategorized	thiaz-red	thiazolinyl imide reductase	subfamily	
TIGR01762	Uncategorized	Uncategorized	Uncategorized	chlorin-enz	chlorinating enzyme	subfamily	
TIGR01767	Uncategorized	Uncategorized	Uncategorized	MTRK	S-methyl-5-thioribose kinase	equivalog	2.7.1.100
TIGR01768	Uncategorized	Uncategorized	Uncategorized	GGGP-family	geranylgeranylglyceryl phosphate synthase family protein	subfamily	2.5.1.-
TIGR01769	Uncategorized	Uncategorized	Uncategorized	GGGP	phosphoglycerol geranylgeranyltransferase	equivalog	2.5.1.41
TIGR01774	Uncategorized	Uncategorized	Uncategorized	PFL2-3	"_glycyl radical enzyme, PFL2/glycerol dehydratase family_"	subfamily	
TIGR01781	Uncategorized	Uncategorized	Uncategorized	Trep_dent_lipo	Treponema denticola clustered lipoprotein	paralog	
TIGR01784	Uncategorized	Uncategorized	Uncategorized	T_den_put_tspse	conserved hypothetical protein	subfamily	
TIGR01787	Uncategorized	Uncategorized	Uncategorized	squalene_cyclas	squalene/oxidosqualene cyclases	subfamily	5.4.-.-
TIGR01788	Uncategorized	Uncategorized	Uncategorized	Glu-decarb-GAD	glutamate decarboxylase	equivalog	4.1.1.15
TIGR01789	Uncategorized	Uncategorized	Uncategorized	lycopene_cycl	lycopene cyclase	equivalog	
TIGR01790	Uncategorized	Uncategorized	Uncategorized	carotene-cycl	lycopene cyclase family protein	subfamily	
TIGR01793	Uncategorized	Uncategorized	Uncategorized	cit_synth_euk	"_citrate (Si)-synthase, eukaryotic_"	equivalog	2.3.3.1
TIGR01800	Uncategorized	Uncategorized	Uncategorized	cit_synth_II	2-methylcitrate synthase/citrate synthase II	subfamily	
TIGR01803	Uncategorized	Uncategorized	Uncategorized	CM-like	chorismate mutase related enzymes	subfamily	
TIGR01823	Uncategorized	Uncategorized	Uncategorized	PabB-fungal	aminodeoxychorismate synthase	equivalog	2.6.1.85
TIGR01824	Uncategorized	Uncategorized	Uncategorized	PabB-clade2	"_aminodeoxychorismate synthase, component I_"	equivalog	2.6.1.85
TIGR01825	Uncategorized	Uncategorized	Uncategorized	gly_Cac_T_rel	putative pyridoxal phosphate-dependent acyltransferase	subfamily	2.3.1.-
TIGR01827	Uncategorized	Uncategorized	Uncategorized	gatC_rel	"_putative Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase, subunit C_"	equivalog	
TIGR01829	Uncategorized	Uncategorized	Uncategorized	AcAcCoA_reduct	acetoacetyl-CoA reductase	subfamily	1.1.1.36
TIGR01833	Uncategorized	Uncategorized	Uncategorized	HMG-CoA-S_euk	hydroxymethylglutaryl-CoA synthase	equivalog	2.3.3.10
TIGR01835	Uncategorized	Uncategorized	Uncategorized	HMG-CoA-S_prok	hydroxymethylglutaryl-CoA synthase	equivalog	2.3.3.10
TIGR01841	Uncategorized	Uncategorized	Uncategorized	phasin	phasin family protein	subfamily_domain	
TIGR01847	Uncategorized	Uncategorized	Uncategorized	bacteriocin_sig	bacteriocin-type signal sequence	domain	
TIGR01856	Uncategorized	Uncategorized	Uncategorized	hisJ_fam	"_histidinol phosphate phosphatase, HisJ family_"	subfamily	
TIGR01858	Uncategorized	Uncategorized	Uncategorized	tag_bisphos_ald	"_class II aldolase, tagatose bisphosphate family_"	equivalog	4.1.2.-
TIGR01879	Uncategorized	Uncategorized	Uncategorized	hydantase	"_amidase, hydantoinase/carbamoylase family_"	subfamily	3.5.-.-
TIGR01880	Uncategorized	Uncategorized	Uncategorized	Ac-peptdase-euk	N-acyl-L-amino-acid amidohydrolase	subfamily	3.5.1.14
TIGR01883	Uncategorized	Uncategorized	Uncategorized	PepT-like	peptidase T-like protein	hypoth_equivalog	
TIGR01885	Uncategorized	Uncategorized	Uncategorized	Orn_aminotrans	ornithine--oxo-acid transaminase	equivalog	2.6.1.13
TIGR01887	Uncategorized	Uncategorized	Uncategorized	dipeptidaselike	putative dipeptidase	subfamily	3.4.13.-
TIGR01893	Uncategorized	Uncategorized	Uncategorized	aa-his-dipept	Xaa-His dipeptidase	subfamily	3.4.13.20
TIGR01901	Uncategorized	Uncategorized	Uncategorized	adhes_NPXG	filamentous hemagglutinin family N-terminal domain	domain	
TIGR01902	Uncategorized	Uncategorized	Uncategorized	dapE-lys-deAc	N-acetyl-ornithine/N-acetyl-lysine deacetylase	subfamily	
TIGR01904	Uncategorized	Uncategorized	Uncategorized	GSu_C4xC__C2xCH	Geobacter sulfurreducens CxxxxCH...CXXCH domain	paralog_domain	
TIGR01905	Uncategorized	Uncategorized	Uncategorized	paired_CXXCH_1	doubled CXXCH domain	subfamily_domain	
TIGR01906	Uncategorized	Uncategorized	Uncategorized	integ_TIGR01906	integral membrane protein TIGR01906	hypoth_equivalog	
TIGR01909	Uncategorized	Uncategorized	Uncategorized	C_GCAxxG_C_C	C_GCAxxG_C_C family protein	subfamily	
TIGR01912	Uncategorized	Uncategorized	Uncategorized	TatC-Arch	Sec-independent protein translocase TatC	equivalog	
TIGR01917	Uncategorized	Uncategorized	Uncategorized	gly_red_sel_B	"_glycine reductase, selenoprotein B_"	equivalog	1.21.4.2
TIGR01918	Uncategorized	Uncategorized	Uncategorized	various_sel_PB	"_selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family_"	subfamily	
TIGR01919	Uncategorized	Uncategorized	Uncategorized	hisA-trpF	bifunctional HisA/TrpF protein	equivalog	5.3.1.16 5.3.1.24
TIGR01921	Uncategorized	Uncategorized	Uncategorized	DAP-DH	diaminopimelate dehydrogenase	equivalog	1.4.1.16
TIGR01922	Uncategorized	Uncategorized	Uncategorized	purO_arch	IMP cyclohydrolase	equivalog	3.5.4.10
TIGR01924	Uncategorized	Uncategorized	Uncategorized	rsbW_low_gc	anti-sigma B factor	equivalog	2.7.11.1
TIGR01926	Uncategorized	Uncategorized	Uncategorized	peroxid_rel	uncharacterized peroxidase-related enzyme	subfamily	
TIGR01931	Uncategorized	Uncategorized	Uncategorized	cysJ	"_sulfite reductase [NADPH] flavoprotein, alpha-component_"	equivalog	1.8.1.2
TIGR01933	Uncategorized	Uncategorized	Uncategorized	hflK	HflK protein	equivalog	
TIGR01942	Uncategorized	Uncategorized	Uncategorized	pcnB	poly(A) polymerase	subfamily	2.7.7.19
TIGR01949	Uncategorized	Uncategorized	Uncategorized	AroFGH_arch	predicted phospho-2-dehydro-3-deoxyheptonate aldolase	hypoth_equivalog	4.2.1.-
TIGR01952	Uncategorized	Uncategorized	Uncategorized	nusA_arch	"_NusA family KH domain protein, archaeal_"	hypoth_equivalog	
TIGR01956	Uncategorized	Uncategorized	Uncategorized	NusG_myco	NusG family protein	hypoth_equivalog	
TIGR01960	Uncategorized	Uncategorized	Uncategorized	ndhF3_CO2	"_NAD(P)H dehydrogenase, subunit NdhF3 family_"	subfamily	
TIGR01963	Uncategorized	Uncategorized	Uncategorized	PHB_DH	3-hydroxybutyrate dehydrogenase	subfamily	
TIGR01965	Uncategorized	Uncategorized	Uncategorized	VCBS_repeat	VCBS repeat	repeat	
TIGR01969	Uncategorized	Uncategorized	Uncategorized	minD_arch	cell division ATPase MinD	subfamily	
TIGR01985	Uncategorized	Uncategorized	Uncategorized	phasin_2	phasin	equivalog	
TIGR01986	Uncategorized	Uncategorized	Uncategorized	glut_syn_euk	glutathione synthetase	equivalog	6.3.2.3
TIGR01987	Uncategorized	Uncategorized	Uncategorized	HI0074	"_nucleotidyltransferase substrate binding protein, HI0074 family_"	subfamily	
TIGR01989	Uncategorized	Uncategorized	Uncategorized	COQ6	ubiquinone biosynthesis monooxygenase COQ6	equivalog	1.14.13.-
TIGR01992	Uncategorized	Uncategorized	Uncategorized	PTS-IIBC-Tre	"_PTS system, trehalose-specific IIBC component_"	equivalog_domain	2.7.1.69
TIGR01993	Uncategorized	Uncategorized	Uncategorized	Pyr-5-nucltdase	pyrimidine 5`-nucleotidase	hypoth_equivalog	3.1.3.5
TIGR01995	Uncategorized	Uncategorized	Uncategorized	PTS-II-ABC-beta	"_PTS system, beta-glucoside-specific IIABC component_"	subfamily	2.7.1.69
TIGR01996	Uncategorized	Uncategorized	Uncategorized	PTS-II-BC-sucr	"_PTS system, sucrose-specific IIBC component_"	equivalog_domain	2.7.1.69
TIGR02001	Uncategorized	Uncategorized	Uncategorized	gcw_chp	conserved hypothetical protein	subfamily	
TIGR02008	Uncategorized	Uncategorized	Uncategorized	fdx_plant	ferredoxin [2Fe-2S]	subfamily	
TIGR02009	Uncategorized	Uncategorized	Uncategorized	PGMB-YQAB-SF	beta-phosphoglucomutase family hydrolase	subfamily	
TIGR02026	Uncategorized	Uncategorized	Uncategorized	BchE	magnesium-protoporphyrin IX monomethyl ester anaerobic oxidative cyclase	equivalog	
TIGR02033	Uncategorized	Uncategorized	Uncategorized	D-hydantoinase	dihydropyrimidinase	equivalog	3.5.2.2
